#{"t_start": 1779524107.8075707, "env_id": "None"}
r,l,t
-94.388922,8,12.784792
-52.985392,8,12.801896
-116.556402,8,12.822273
-65.628942,8,12.831904
-146.637925,8,12.861706
-129.469273,8,12.877095
-104.045193,8,12.882658
-84.205321,8,12.908275
-130.987357,8,12.923512
-136.26103,8,12.93937
-46.944944,8,12.962198
-69.920249,8,12.979476
-107.861148,8,13.000541
-20.589152,8,13.019152
-128.064398,8,13.037854
-43.526526,8,13.064137
-159.477025,8,13.080148
-43.735145,8,13.094856
-18.02334,8,13.110559
-26.384257,8,13.129308
-45.90679,8,13.144749
-53.362707,8,13.160183
-122.375947,8,13.177277
-58.992131,8,13.182757
-57.003529,8,13.212157
-43.495333,8,13.227788
-157.575362,8,13.243461
-131.668555,8,13.267709
-55.138065,8,13.274813
-45.949274,8,13.306776
-26.309089,8,13.322578
-155.895717,8,13.334623
-11.372676,8,13.350424
-201.828393,8,13.364212
-68.063865,8,13.380011
-34.29183,8,13.393808
-68.875042,8,13.409164
-65.554474,8,13.425292
-50.645395,8,13.435914
-103.395206,8,13.45154
-33.689667,8,13.468518
-121.082653,8,13.483326
-214.07757,8,13.499091
-122.139722,8,13.510848
-13.931892,8,13.528355
-22.509307,8,13.546005
-191.397703,8,13.558046
-145.645621,8,13.57183
-85.78564,8,13.583624
-64.599161,8,13.599732
-46.213049,8,13.614734
-155.961943,8,13.62865
-44.969856,8,13.647727
-145.006129,8,13.659405
-39.24092,8,13.675482
-101.490615,8,13.69128
-120.731754,8,13.701025
-26.358375,8,13.710795
-100.205198,8,13.731197
-174.447016,8,13.742878
-26.185243,8,13.746427
-129.914594,8,13.758767
-29.473721,8,13.777905
-126.738239,8,13.789949
-150.228579,8,13.807092
-61.607893,8,13.825851
-60.539928,8,13.842478
-68.372557,8,13.852102
-62.887421,8,13.869801
-107.939405,8,13.885462
-121.57041,8,13.885462
-51.308215,8,13.908459
-174.138428,8,13.923513
-11.98453,8,13.934238
-118.592724,8,13.954582
-95.722232,8,13.971202
-77.005395,8,13.982794
-79.519303,8,14.002665
-87.395913,8,14.016235
-29.648971,8,14.0322
-111.23077,8,14.049353
-227.183975,8,14.05592
-91.424742,8,14.082777
-68.201485,8,14.093951
-59.477364,8,14.105981
-75.724335,8,14.156147
-26.702317,8,14.168216
-136.792901,8,14.190027
-15.93924,8,14.201758
-143.279713,8,14.216739
-34.349124,8,14.23452
-30.70137,8,14.246554
-46.60818,8,14.262358
-26.81263,8,14.272396
-73.97406,8,14.280905
-124.053332,8,14.296072
-35.401593,8,14.318055
-30.933978,8,14.335547
-35.530244,8,14.34321
-124.696711,8,14.366289
-200.160317,8,14.382349
-15.484699,8,14.400011
-113.145986,8,14.425464
-44.637188,8,14.439278
-158.514319,8,14.455087
-29.461318,8,14.470891
-76.108803,8,14.480933
-128.270818,8,14.49671
-19.292746,8,14.509054
-146.503189,8,14.526821
