#{"t_start": 1779522850.6272454, "env_id": "None"}
r,l,t
-127.435949,8,13.019355
-78.193008,8,13.026358
-86.838407,8,13.047765
-248.812641,8,13.055764
-58.195042,8,13.064056
-67.097533,8,13.071056
-113.946611,8,13.079417
-26.958755,8,13.086417
-80.908322,8,13.094122
-124.983077,8,13.102906
-38.823628,8,13.111859
-153.542552,8,13.117861
-6.097549,8,13.124862
-57.222479,8,13.132845
-86.18751,8,13.14214
-299.188544,8,13.157826
-96.469392,8,13.164657
-27.528648,8,13.170673
-151.229717,8,13.178798
-21.175292,8,13.40173
-57.752221,8,13.409484
-81.887185,8,13.417506
-218.900833,8,13.423988
-44.156903,8,13.432015
-5.953118,8,13.44013
-111.975055,8,13.447129
-20.627648,8,13.454241
-6.233444,8,13.46785
-82.856844,8,13.476883
-102.007257,8,13.487807
-90.446842,8,13.493549
-127.827864,8,13.501115
-49.187965,8,13.508693
-30.543029,8,13.516237
-121.672697,8,13.523998
-20.656406,8,13.534493
-77.108492,8,13.544438
-90.262649,8,13.554058
-55.569573,8,13.561712
-140.343599,8,13.567903
-63.792272,8,13.579063
-125.042593,8,13.588058
-110.771361,8,13.594729
-152.74013,8,13.603353
-202.090778,8,13.610637
-199.999286,8,13.618983
-62.516084,8,13.624843
-45.37399,8,13.631235
-50.756959,8,13.636588
-80.688467,8,13.641934
-47.872931,8,13.647236
-106.759323,8,13.846395
-83.744776,8,13.859454
-98.3927,8,13.868121
-111.123996,8,13.881562
-216.295986,8,13.88912
-84.58572,8,13.901212
-140.251609,8,13.913235
-57.115299,8,13.920241
-37.046902,8,13.930067
-50.909625,8,13.943053
-43.57545,8,13.950704
-79.807417,8,13.961142
-64.970236,8,13.968142
-57.765048,8,13.976142
-44.999618,8,13.988146
-114.233956,8,13.999206
-168.250024,8,14.011755
-53.999305,8,14.025982
-214.86906,8,14.030542
-61.358987,8,14.041442
-135.244738,8,14.041442
-204.278305,8,14.062837
-167.13946,8,14.067841
-36.222181,8,14.07507
-191.861978,8,14.081063
-19.635439,8,14.087064
-110.737717,8,14.097067
-27.567635,8,14.103063
-86.09056,8,14.112419
-25.758164,8,14.123296
-197.943865,8,14.136463
-69.880986,8,14.153164
-31.892725,8,14.345245
-38.35681,8,14.353761
