#{"t_start": 1779523575.4009054, "env_id": "None"}
r,l,t
-198.506255,8,4.905645
-76.148705,8,4.915629
-13.832314,8,4.920748
-80.424593,8,4.941862
-163.89809,8,4.955432
-96.591383,8,4.964355
-25.634025,8,4.973615
-188.914243,8,4.988883
-124.127837,8,5.002208
-71.778527,8,5.010928
-1.215763,8,5.021666
-99.78673,8,5.029933
-80.93806,8,5.044998
-201.156731,8,5.054546
-96.240845,8,5.064564
-81.087087,8,5.079181
-142.745611,8,5.100068
-165.119979,8,5.11788
-165.368932,8,5.125778
-61.286516,8,5.140844
-174.305651,8,5.153102
-120.88316,8,5.165051
-196.94096,8,5.171472
-46.279957,8,5.187806
-64.360371,8,5.187806
-33.573054,8,5.202871
-80.576666,8,5.209938
-96.230677,8,5.225799
-93.222985,8,5.241105
-148.543394,8,5.252291
-23.50387,8,5.261811
-48.942172,8,5.274134
-121.284629,8,5.285525
-30.471129,8,5.292722
-155.54803,8,5.304645
-57.132073,8,5.315644
-123.534815,8,5.323722
-151.308338,8,5.338154
-121.11237,8,5.347714
-102.292541,8,5.361287
-107.864648,8,5.372455
-41.765339,8,5.389596
-51.093715,8,5.402369
-35.230877,8,5.415793
-124.463736,8,5.425825
-123.824743,8,5.436002
-60.946215,8,5.450102
-87.497489,8,5.467447
-57.714842,8,5.476966
-147.506025,8,5.488284
-122.644049,8,5.499228
-107.444443,8,5.515768
-22.770003,8,5.625414
-30.322731,8,5.646153
-42.423277,8,5.662883
-184.140824,8,5.683891
-95.156591,8,5.69413
-58.408492,8,5.705912
-110.597987,8,5.720484
-21.160921,8,5.738146
-41.553315,8,5.748214
-72.100836,8,5.757852
-68.898743,8,5.769423
-33.356046,8,5.787546
-21.075972,8,5.800622
-91.143843,8,5.809705
-60.550475,8,5.838151
-134.304349,8,5.974569
-102.373758,8,5.981876
-139.838633,8,5.990541
-204.170661,8,6.003319
-110.439094,8,6.015779
-117.659387,8,6.020495
-87.05061,8,6.033534
-106.662487,8,6.042231
-57.097343,8,6.048108
-152.466151,8,6.065641
-145.648426,8,6.07573
-130.475335,8,6.08954
-74.098557,8,6.105371
-60.93444,8,6.116411
-38.849674,8,6.12566
-92.168566,8,6.136114
-117.185129,8,6.148197
-87.917211,8,6.155825
-60.741239,8,6.166488
-45.380093,8,6.174583
-59.037524,8,6.185836
-94.878075,8,6.199316
-152.725979,8,6.206923
-44.468513,8,6.215894
-88.019141,8,6.233593
-59.562187,8,6.24238
-198.769912,8,6.250292
-81.514442,8,6.259886
-82.23603,8,6.273513
-200.974503,8,6.28172
-44.217771,8,6.291862
-36.887479,8,6.303335
-147.951978,8,6.31568
-77.248211,8,6.321718
-20.47622,8,6.329721
-69.757557,8,6.339922
-147.233887,8,6.35554
-94.615293,8,6.368456
-81.828496,8,6.377979
-14.076975,8,6.387705
-97.678267,8,6.401771
-94.754407,8,6.411006
-46.78547,8,6.421929
-29.147429,8,6.431008
-82.600021,8,6.442525
-40.676229,8,6.452594
-148.296284,8,6.459673
-100.271438,8,6.471416
-167.290247,8,6.479444
-106.257163,8,6.498259
-91.190712,8,6.506765
-84.796812,8,6.519559
-48.022954,8,6.531074
-96.827567,8,6.541602
-142.113406,8,6.552181
-76.697261,8,6.56171
-79.96178,8,6.577021
-51.303098,8,6.587511
-53.253455,8,6.598513
-31.047032,8,6.611747
-60.580918,8,6.615728
-102.604675,8,6.640604
-148.135269,8,6.650349
-52.667049,8,6.658014
-57.493621,8,6.670385
-126.597954,8,6.677922
-52.217477,8,6.685398
-82.655681,8,6.69349
-132.050904,8,6.705676
-89.386877,8,6.712809
-21.452747,8,6.721897
-29.86214,8,6.732989
-93.282232,8,6.742502
-80.55639,8,6.754367
-64.501286,8,6.769485
-103.486667,8,6.779006
-134.632866,8,6.791575
-181.521046,8,6.80021
-87.399356,8,6.80872
-71.766402,8,6.819612
-31.613295,8,6.832141
-60.35397,8,6.841667
-104.959104,8,6.848244
-20.095244,8,6.860458
-58.683628,8,6.875861
-127.198699,8,6.885826
-24.454224,8,6.902203
-196.749753,8,6.912738
-66.883867,8,6.925704
-110.293812,8,6.934154
-123.984029,8,6.940691
-125.699908,8,6.948197
-67.506301,8,6.955739
-105.126532,8,6.968476
-20.335754,8,6.976997
-29.966241,8,6.98823
-58.883661,8,7.00148
-202.600379,8,7.009047
-40.037164,8,7.018596
-27.062049,8,7.034248
-220.807913,8,7.046141
-67.467296,8,7.048148
-117.78604,8,7.064827
-38.315299,8,7.074345
-80.645105,8,7.087355
-41.402812,8,7.100161
-83.163173,8,7.107676
-57.597021,8,7.115478
-33.235652,8,7.130392
-136.919005,8,7.135454
-95.515728,8,7.145464
-74.119157,8,7.155747
-210.222803,8,7.174536
-63.559603,8,7.184123
-228.413273,8,7.18968
-43.015696,8,7.199319
-21.548056,8,7.212756
-131.825459,8,7.221702
-63.897236,8,7.231549
-54.067585,8,7.238086
-18.865788,8,7.250176
-217.674129,8,7.259778
-142.772306,8,7.269415
-131.453287,8,7.27693
-217.183046,8,7.292931
-95.323638,8,7.303246
-179.344978,8,7.308767
-99.054756,8,7.315419
-41.721537,8,7.328268
-216.549785,8,7.341584
-147.234042,8,7.348229
-116.872325,8,7.355791
-192.619935,8,7.372358
-10.167399,8,7.381831
-141.921339,8,7.387451
-60.2131,8,7.400739
-37.634613,8,7.415879
-61.665976,8,7.415879
-83.334549,8,7.434104
-150.440037,8,7.443625
-76.326709,8,7.459008
-42.822021,8,7.469392
-38.20177,8,7.476904
-27.528861,8,7.485587
-36.657085,8,7.500258
-146.138497,8,7.508815
-23.486692,8,7.515817
-74.017118,8,7.520799
-37.800205,8,7.539819
-138.424572,8,7.54827
-17.062191,8,7.567451
-95.126159,8,7.575994
-65.403342,8,7.585534
-27.657275,8,7.600277
-22.058766,8,7.608999
-58.115404,8,7.615813
-90.429536,8,7.628595
-38.744717,8,7.638566
-59.605672,8,7.646069
-10.676252,8,7.655524
-43.561052,8,7.665789
-188.778947,8,7.682314
-23.645258,8,7.690993
-98.142169,8,7.703373
-26.235462,8,7.715618
-174.640601,8,7.720743
-53.743231,8,7.733346
-221.52684,8,7.742076
-62.327762,8,7.754315
-139.811437,8,7.759968
-109.22842,8,7.770456
-118.267541,8,7.777975
-59.940158,8,7.78572
-106.33026,8,7.802255
-79.215193,8,7.817143
-178.841238,8,7.824243
-64.604832,8,7.836291
-73.348609,8,7.843305
-89.483674,8,7.850705
-36.641625,8,7.859432
-59.509559,8,7.869665
-158.13179,8,7.876292
-166.013961,8,7.883418
-158.948693,8,7.891505
-125.002953,8,7.905483
-127.236035,8,7.917904
-96.62482,8,7.931967
-96.798445,8,7.935795
-37.811983,8,7.955982
-138.731043,8,7.968634
-12.527342,8,7.979153
-49.282633,8,7.989316
-115.219157,8,8.00219
-172.178418,8,8.012446
-59.21297,8,8.019881
-146.19341,8,8.027445
-68.420708,8,8.043587
-156.435023,8,8.057281
-63.378667,8,8.077037
-32.257892,8,8.102376
-165.659622,8,8.127485
-37.835845,8,8.153123
-118.208181,8,8.171549
-70.580509,8,8.185711
-120.648987,8,8.207825
-76.739233,8,8.218607
-142.807036,8,8.23764
-133.802945,8,8.25069
-93.769982,8,8.274521
-110.88978,8,8.285505
-45.817451,8,8.299361
-33.034481,8,8.317539
-43.346239,8,8.33671
-26.073384,8,8.346672
-142.8672,8,8.363958
-99.582668,8,8.37903
-44.92417,8,8.401312
-60.718374,8,8.411834
-94.216695,8,8.423015
-85.508946,8,8.4351
-148.014566,8,8.44675
-68.194175,8,8.457823
-41.854784,8,8.469815
-236.009788,8,8.480177
-45.601047,8,8.504777
-130.906978,8,8.515702
-44.569397,8,8.525872
-55.143907,8,8.535841
-32.609392,8,8.555462
-42.093579,8,8.565602
-18.93859,8,8.577888
-112.276191,8,8.588285
-20.289779,8,8.603467
-62.371982,8,8.618159
-186.263882,8,8.627783
-51.648943,8,8.642698
-17.51047,8,8.663977
-92.663589,8,8.677017
-38.613952,8,8.687645
-48.737311,8,8.698292
-39.813811,8,8.712864
-25.250916,8,8.725462
-1.036645,8,8.743236
-25.422433,8,8.755752
-136.159831,8,8.769475
-43.250688,8,8.777997
-88.629574,8,8.787515
-156.488075,8,8.795568
-11.318409,8,8.807615
2.145581,8,8.815451
-22.91246,8,8.833064
-59.505728,8,8.840585
-91.732561,8,8.856916
-48.931556,8,8.866473
-46.049829,8,8.875979
-67.916699,8,8.885686
-48.983773,8,8.9005
-121.19558,8,8.910053
-23.278495,8,8.917881
-54.140177,8,8.927678
-74.744479,8,8.9417
-65.359019,8,8.954481
-25.466846,8,8.970409
-42.882086,8,8.979448
-127.829729,8,8.990845
-91.561553,8,8.998854
-16.736113,8,9.010913
-86.534852,8,9.015813
-57.683299,8,9.033173
-41.178457,8,9.042731
-98.333098,8,9.050474
-117.86545,8,9.062897
-1.596987,8,9.076189
-128.467896,8,9.085476
-73.712055,8,9.1036
-39.232599,8,9.111307
-99.609563,8,9.117609
3.132511,8,9.13433
-145.902407,8,9.141063
-161.194248,8,9.14837
-154.895387,8,9.160946
-84.321873,8,9.169617
-47.947969,8,9.178348
-205.439132,8,9.193156
-58.349983,8,9.207662
-124.002932,8,9.219813
-145.397942,8,9.236653
-59.0481,8,9.249516
-58.848999,8,9.259476
-44.184345,8,9.269823
-73.386592,8,9.279251
-50.227189,8,9.289595
-42.950407,8,9.307555
-61.824691,8,9.315652
-22.091311,8,9.325735
